nome;sexo;classe;arma;magia;vida
Bram Laminar;M;LADINO;Punhal Sombrio:5;;53
Bram Noitefria;M;CLERIGO;Martelo da Fe:7;Punicao Divina:11;50
Bram Ostraval;M;LADINO;Punhal Sombrio:5;;50
Bram Tremoco;M;LADINO;Punhal Sombrio:5;;48
Brielle Cravorrubro;F;LADINO;Arco Curto:6;;45
Brielle Ferronegro;F;MAGO;Adaga Ritual:3;Tempestade Eletrica:14;27
Brielle Ostraval;F;GUERREIRO;Montante:10;;47
Brielle Riachoclaro;F;LADINO;Arco Curto:6;;49
Brielle Solposto;F;CLERIGO;Cetro Bento:5;Luz Curativa:9;44
Brielle Urzevelha;F;GUERREIRO;Espada Longa:7;;61
Brielle Ventolesto;F;CLERIGO;Maca Sagrada:6;Luz Curativa:9;49
Brunhilde Brumafria;F;CLERIGO;Maca Sagrada:6;Luz Curativa:9;38
Brunhilde Folhaverde;F;LADINO;Arco Curto:6;;46
Brunhilde Ostraval;F;CLERIGO;Martelo da Fe:7;Punicao Divina:11;58
Brunhilde Pedraforte;F;LADINO;Besta de Mao:7;;50
Brunhilde Vaupedra;F;GUERREIRO;Alabarda:8;;50
Brunhilde Ventolesto;F;MAGO;Adaga Ritual:3;Tempestade Eletrica:14;27
Cassia Cravorrubro;F;MAGO;Cajado Arcano:4;Tempestade Eletrica:14;36
Cassia Espinhal;F;GUERREIRO;Alabarda:8;;46
Cassia Florsombria;F;LADINO;Arco Curto:6;;44
Cassia Luzprata;F;MAGO;Adaga Ritual:3;Seta Arcana:8;33
Cassia Noitefria;F;CLERIGO;Maca Sagrada:6;Luz Curativa:9;42
Cassia Pedraforte;F;GUERREIRO;Martelo Pesado:9;;70
Cassia Quebrantosso;F;LADINO;Adaga Gemea:6;;51
Cassia Tremoco;F;CLERIGO;Maca Sagrada:6;Luz Curativa:9;55
Cedric Espinhal;M;GUERREIRO;Montante:10;;62
Cedric Ferronegro;M;LADINO;Arco Curto:6;;39
Cedric Gelocorvo;M;MAGO;Varinha Runica:3;Raio Congelante:10;27
Cedric Laminar;M;GUERREIRO;Espada Longa:7;;58
Cedric Luzprata;M;LADINO;Arco Curto:6;;40
Cedric Ostraval;M;MAGO;Bastao Etereo:5;Tempestade Eletrica:14;27
Celeste Espinhal;F;LADINO;Punhal Sombrio:5;;53
Celeste Folhaverde;F;MAGO;Bastao Etereo:5;Bola de Fogo:12;40
Celeste Laminar;F;GUERREIRO;Martelo Pesado:9;;61
Celeste Montelongo;F;MAGO;Bastao Etereo:5;Seta Arcana:8;35
Celeste Noitefria;F;CLERIGO;Maca Sagrada:6;Escudo da Fe:7;42
Celeste Pelegris;F;LADINO;Adaga Gemea:6;;38
Celeste Quebrantosso;F;GUERREIRO;Espada Longa:7;;54
Celeste Tremoco;F;CLERIGO;Martelo da Fe:7;Punicao Divina:11;36
Celeste Urzevelha;F;LADINO;Adaga Gemea:6;;35
Daria Ferronegro;F;LADINO;Arco Curto:6;;49
Daria Laminar;F;LADINO;Punhal Sombrio:5;;47
Daria Luzprata;F;CLERIGO;Maca Sagrada:6;Punicao Divina:11;42
Daria Riachoclaro;F;CLERIGO;Martelo da Fe:7;Escudo da Fe:7;49
Daria Solposto;F;LADINO;Besta de Mao:7;;43
Daria Vaupedra;F;MAGO;Bastao Etereo:5;Seta Arcana:8;35
Davor Aurivento;M;LADINO;Besta de Mao:7;;41
Davor Brumafria;M;MAGO;Cajado Arcano:4;Bola de Fogo:12;29
Davor Cravorrubro;M;LADINO;Arco Curto:6;;37
Davor Dentebravo;M;CLERIGO;Cetro Bento:5;Punicao Divina:11;45
Davor Gelocorvo;M;CLERIGO;Cetro Bento:5;Escudo da Fe:7;39
Davor Pelegris;M;MAGO;Adaga Ritual:3;Tempestade Eletrica:14;26
Davor Urzevelha;M;MAGO;Varinha Runica:3;Tempestade Eletrica:14;37
Davor Vaupedra;M;CLERIGO;Cetro Bento:5;Escudo da Fe:7;60
Davor Ventolesto;M;LADINO;Arco Curto:6;;48
Delia Folhaverde;F;LADINO;Punhal Sombrio:5;;48
Delia Noitefria;F;LADINO;Adaga Gemea:6;;44
Delia Ostraval;F;GUERREIRO;Martelo Pesado:9;;69
Delia Riachoclaro;F;MAGO;Bastao Etereo:5;Bola de Fogo:12;32
Delia Solposto;F;GUERREIRO;Espada Longa:7;;53
Delia Sombravale;F;LADINO;Besta de Mao:7;;53
Delia Tremoco;F;MAGO;Bastao Etereo:5;Seta Arcana:8;27
Doran Dentebravo;M;CLERIGO;Maca Sagrada:6;Escudo da Fe:7;41
Doran Florsombria;M;GUERREIRO;Alabarda:8;;53
Doran Gelocorvo;M;CLERIGO;Martelo da Fe:7;Luz Curativa:9;47
Doran Laminar;M;CLERIGO;Martelo da Fe:7;Punicao Divina:11;41
Doran Luzprata;M;CLERIGO;Maca Sagrada:6;Luz Curativa:9;58
Doran Ostraval;M;GUERREIRO;Espada Longa:7;;45
Doran Vaupedra;M;CLERIGO;Martelo da Fe:7;Escudo da Fe:7;59
Edrik Aurivento;M;MAGO;Cajado Arcano:4;Seta Arcana:8;38
Edrik Florsombria;M;MAGO;Adaga Ritual:3;Bola de Fogo:12;35
Edrik Folhaverde;M;CLERIGO;Cetro Bento:5;Punicao Divina:11;59
Edrik Gelocorvo;M;CLERIGO;Maca Sagrada:6;Punicao Divina:11;46
Edrik Luzprata;M;LADINO;Besta de Mao:7;;45
Edrik Montelongo;M;MAGO;Cajado Arcano:4;Bola de Fogo:12;30
Edrik Ostraval;M;LADINO;Adaga Gemea:6;;48
Edrik Pedraforte;M;LADINO;Besta de Mao:7;;47
Edrik Pelegris;M;MAGO;Varinha Runica:3;Seta Arcana:8;26
Edrik Sombravale;M;GUERREIRO;Alabarda:8;;56
Edrik Tremoco;M;GUERREIRO;Espada Longa:7;;45
Elowen Aurivento;F;GUERREIRO;Alabarda:8;;48
Elowen Florsombria;F;GUERREIRO;Alabarda:8;;45
Elowen Gelocorvo;F;MAGO;Bastao Etereo:5;Seta Arcana:8;28
Elowen Noitefria;F;CLERIGO;Maca Sagrada:6;Punicao Divina:11;39
Elowen Pelegris;F;GUERREIRO;Machado de Guerra:8;;62
Elowen Solposto;F;MAGO;Cajado Arcano:4;Bola de Fogo:12;35
Espectro da Cripta;M;MONSTRO;Cauda Espinhosa:8;Sopro Sombrio:10;85
Espectro das Cavernas;M;MONSTRO;Mandibula Brutal:9;;69
Espectro das Ruinas;F;MONSTRO;Garra Afiada:7;Grito Aterrador:8;76
Espectro Uivante;F;MONSTRO;Tentaculo:5;;74
Esqueleto Anciao;F;MONSTRO;Presa Venenosa:6;;73
Esqueleto das Cavernas;M;MONSTRO;Presa Venenosa:6;Grito Aterrador:8;67
Esqueleto das Ruinas;F;MONSTRO;Cauda Espinhosa:8;Sopro Sombrio:10;38
Esqueleto Uivante;F;MONSTRO;Garra Afiada:7;Veneno Corrosivo:9;70
Esqueleto Vermelho;F;MONSTRO;Garra Afiada:7;;62
Esqueleto Voraz;M;MONSTRO;Tentaculo:5;;43
Evelina Aurivento;F;LADINO;Arco Curto:6;;49
Evelina Brumafria;F;CLERIGO;Maca Sagrada:6;Escudo da Fe:7;55
Evelina Cinzarubra;F;CLERIGO;Maca Sagrada:6;Escudo da Fe:7;42
Evelina Espinhal;F;GUERREIRO;Martelo Pesado:9;;62
Evelina Ferronegro;F;GUERREIRO;Espada Longa:7;;60
Evelina Florsombria;F;MAGO;Bastao Etereo:5;Seta Arcana:8;40
Evelina Folhaverde;F;MAGO;Cajado Arcano:4;Bola de Fogo:12;32
Evelina Laminar;F;LADINO;Adaga Gemea:6;;40
Evelina Luzprata;F;CLERIGO;Maca Sagrada:6;Luz Curativa:9;38
Evelina Montelongo;F;CLERIGO;Maca Sagrada:6;Luz Curativa:9;38
Evelina Pelegris;F;CLERIGO;Maca Sagrada:6;Escudo da Fe:7;56
Evelina Urzevelha;F;LADINO;Punhal Sombrio:5;;42
Falken Cravorrubro;M;CLERIGO;Maca Sagrada:6;Luz Curativa:9;39
Falken Luzprata;M;CLERIGO;Martelo da Fe:7;Punicao Divina:11;49
Falken Montelongo;M;LADINO;Arco Curto:6;;36
Falken Noitefria;M;CLERIGO;Cetro Bento:5;Luz Curativa:9;36
Falken Ostraval;M;GUERREIRO;Alabarda:8;;63
Falken Quebrantosso;M;CLERIGO;Martelo da Fe:7;Escudo da Fe:7;52
Falken Solposto;M;LADINO;Adaga Gemea:6;;40
Falken Sombravale;M;MAGO;Adaga Ritual:3;Bola de Fogo:12;32
Falken Tremoco;M;GUERREIRO;Martelo Pesado:9;;62
Falken Ventolesto;M;LADINO;Besta de Mao:7;;55
Feyn Folhaverde;M;CLERIGO;Martelo da Fe:7;Escudo da Fe:7;53
Feyn Gelocorvo;M;CLERIGO;Cetro Bento:5;Escudo da Fe:7;40
Feyn Ostraval;M;CLERIGO;Maca Sagrada:6;Punicao Divina:11;40
Freya Folhaverde;F;GUERREIRO;Martelo Pesado:9;;58
Freya Noitefria;F;CLERIGO;Martelo da Fe:7;Luz Curativa:9;54
Freya Sombravale;F;LADINO;Punhal Sombrio:5;;55
Freya Ventolesto;F;LADINO;Arco Curto:6;;49
Garen Quebrantosso;M;MAGO;Varinha Runica:3;Bola de Fogo:12;32
Gargula Anciao;M;MONSTRO;Cauda Espinhosa:8;;79
Gargula das Cavernas;F;MONSTRO;Cauda Espinhosa:8;Veneno Corrosivo:9;73
Gargula do Pantano;M;MONSTRO;Garra Afiada:7;;72
Gargula Petreo;M;MONSTRO;Mandibula Brutal:9;Grito Aterrador:8;84
Ghoul Anciao;F;MONSTRO;Garra Afiada:7;;34
Ghoul Colossal;F;MONSTRO;Tentaculo:5;Veneno Corrosivo:9;48
Ghoul da Floresta;F;MONSTRO;Cauda Espinhosa:8;;31
Ghoul das Cavernas;F;MONSTRO;Garra Afiada:7;;68
Ghoul do Pantano;F;MONSTRO;Mandibula Brutal:9;Veneno Corrosivo:9;90
Ghoul Errante;F;MONSTRO;Presa Venenosa:6;Veneno Corrosivo:9;30
Ghoul Faminto;M;MONSTRO;Presa Venenosa:6;Grito Aterrador:8;77
Ghoul Maldito;F;MONSTRO;Mandibula Brutal:9;;86
Ghoul Negro;F;MONSTRO;Cauda Espinhosa:8;;84
Ghoul Petreo;M;MONSTRO;Mandibula Brutal:9;;29
Ghoul Selvagem;M;MONSTRO;Mandibula Brutal:9;;76
Ghoul Venenoso;F;MONSTRO;Tentaculo:5;Veneno Corrosivo:9;58
Ghoul Voraz;M;MONSTRO;Presa Venenosa:6;Veneno Corrosivo:9;50
Gideon Cinzarubra;M;CLERIGO;Cetro Bento:5;Luz Curativa:9;47
Gideon Florsombria;M;LADINO;Punhal Sombrio:5;;35
Gideon Laminar;M;LADINO;Besta de Mao:7;;38
Gideon Solposto;M;LADINO;Arco Curto:6;;37
Gideon Tremoco;M;GUERREIRO;Machado de Guerra:8;;69
Goblin Anciao;F;MONSTRO;Cauda Espinhosa:8;;53
Goblin das Ruinas;M;MONSTRO;Presa Venenosa:6;;51
Goblin Selvagem;M;MONSTRO;Cauda Espinhosa:8;;28
Goblin Sombrio;M;MONSTRO;Mandibula Brutal:9;Grito Aterrador:8;45
Goblin Uivante;F;MONSTRO;Garra Afiada:7;Veneno Corrosivo:9;45
Goblin Voraz;M;MONSTRO;Garra Afiada:7;Sopro Sombrio:10;27
Gwendolyn Aurivento;F;MAGO;Cajado Arcano:4;Raio Congelante:10;37
Gwendolyn Brumafria;F;MAGO;Cajado Arcano:4;Raio Congelante:10;35
Gwendolyn Gelocorvo;F;CLERIGO;Maca Sagrada:6;Luz Curativa:9;44
Gwendolyn Pedraforte;F;MAGO;Varinha Runica:3;Bola de Fogo:12;40
Gwendolyn Pelegris;F;GUERREIRO;Montante:10;;68
Hadrian Aurivento;M;LADINO;Adaga Gemea:6;;42
Hadrian Dentebravo;M;MAGO;Adaga Ritual:3;Raio Congelante:10;30
Hadrian Montelongo;M;GUERREIRO;Machado de Guerra:8;;47
Hadrian Vaupedra;M;MAGO;Cajado Arcano:4;Raio Congelante:10;38
Harpia Anciao;M;MONSTRO;Mandibula Brutal:9;;90
Harpia da Cripta;F;MONSTRO;Garra Afiada:7;;26
Harpia do Norte;F;MONSTRO;Tentaculo:5;;78
Harpia do Pantano;M;MONSTRO;Cauda Espinhosa:8;;24
Harpia Faminto;F;MONSTRO;Presa Venenosa:6;Veneno Corrosivo:9;51
Harpia Petreo;F;MONSTRO;Tentaculo:5;;25
Helena Aurivento;F;GUERREIRO;Martelo Pesado:9;;59
Helena Brumafria;F;MAGO;Varinha Runica:3;Seta Arcana:8;28
Helena Cinzarubra;F;GUERREIRO;Martelo Pesado:9;;60
Helena Dentebravo;F;GUERREIRO;Espada Longa:7;;55
Helena Gelocorvo;F;MAGO;Adaga Ritual:3;Raio Congelante:10;38
Helena Ostraval;F;GUERREIRO;Espada Longa:7;;49
Helena Solposto;F;CLERIGO;Cetro Bento:5;Luz Curativa:9;49
Helena Urzevelha;F;CLERIGO;Maca Sagrada:6;Luz Curativa:9;39
Isolde Dentebravo;F;CLERIGO;Martelo da Fe:7;Punicao Divina:11;41
Isolde Ferronegro;F;MAGO;Varinha Runica:3;Tempestade Eletrica:14;32
Isolde Folhaverde;F;LADINO;Adaga Gemea:6;;54
Isolde Gelocorvo;F;CLERIGO;Martelo da Fe:7;Escudo da Fe:7;36
Isolde Noitefria;F;MAGO;Cajado Arcano:4;Raio Congelante:10;39
Isolde Quebrantosso;F;MAGO;Varinha Runica:3;Raio Congelante:10;40
Isolde Urzevelha;F;LADINO;Besta de Mao:7;;54
Ivar Cinzarubra;M;LADINO;Adaga Gemea:6;;52
Ivar Cravorrubro;M;CLERIGO;Cetro Bento:5;Escudo da Fe:7;46
Ivar Luzprata;M;LADINO;Besta de Mao:7;;35
Ivar Montelongo;M;CLERIGO;Martelo da Fe:7;Luz Curativa:9;37
Ivar Quebrantosso;M;MAGO;Adaga Ritual:3;Raio Congelante:10;35
Ivar Tremoco;M;CLERIGO;Martelo da Fe:7;Punicao Divina:11;42
Jessamine Laminar;F;LADINO;Punhal Sombrio:5;;43
Jessamine Ostraval;F;GUERREIRO;Martelo Pesado:9;;54
Jessamine Sombravale;F;MAGO;Bastao Etereo:5;Bola de Fogo:12;30
Jorah Ferronegro;M;GUERREIRO;Montante:10;;58
Jorah Ostraval;M;GUERREIRO;Martelo Pesado:9;;52
Kael Aurivento;M;CLERIGO;Martelo da Fe:7;Escudo da Fe:7;51
Kael Brumafria;M;CLERIGO;Cetro Bento:5;Escudo da Fe:7;54
Kael Cravorrubro;M;LADINO;Adaga Gemea:6;;46
Kael Ferronegro;M;CLERIGO;Martelo da Fe:7;Escudo da Fe:7;50
Kael Florsombria;M;LADINO;Adaga Gemea:6;;42
Kael Montelongo;M;CLERIGO;Martelo da Fe:7;Escudo da Fe:7;38
Kael Pelegris;M;GUERREIRO;Martelo Pesado:9;;46
Kael Riachoclaro;M;GUERREIRO;Machado de Guerra:8;;69
Kael Ventolesto;M;LADINO;Besta de Mao:7;;38
Katriel Florsombria;F;CLERIGO;Martelo da Fe:7;Punicao Divina:11;40
Katriel Luzprata;F;LADINO;Besta de Mao:7;;40
Katriel Urzevelha;F;LADINO;Punhal Sombrio:5;;49
Katriel Ventolesto;F;MAGO;Adaga Ritual:3;Tempestade Eletrica:14;25
Kestrel Aurivento;M;GUERREIRO;Montante:10;;59
Kestrel Florsombria;M;GUERREIRO;Montante:10;;59
Kestrel Folhaverde;M;MAGO;Bastao Etereo:5;Bola de Fogo:12;30
Kestrel Laminar;M;CLERIGO;Martelo da Fe:7;Luz Curativa:9;50
Kestrel Luzprata;M;CLERIGO;Martelo da Fe:7;Punicao Divina:11;49
Kestrel Noitefria;M;CLERIGO;Martelo da Fe:7;Punicao Divina:11;44
Kestrel Pelegris;M;LADINO;Arco Curto:6;;36
Kestrel Riachoclaro;M;GUERREIRO;Machado de Guerra:8;;52
Kestrel Vaupedra;M;MAGO;Adaga Ritual:3;Tempestade Eletrica:14;33
Kobold da Cripta;M;MONSTRO;Mandibula Brutal:9;;55
Kobold das Cavernas;F;MONSTRO;Presa Venenosa:6;Grito Aterrador:8;51
Kobold Esquecido;M;MONSTRO;Cauda Espinhosa:8;;82
Kobold Faminto;F;MONSTRO;Garra Afiada:7;Sopro Sombrio:10;50
Kobold Petreo;M;MONSTRO;Mandibula Brutal:9;Veneno Corrosivo:9;51
Kobold Venenoso;M;MONSTRO;Tentaculo:5;Grito Aterrador:8;47
Kobold Vermelho;M;MONSTRO;Cauda Espinhosa:8;Grito Aterrador:8;26
Kobold Voraz;F;MONSTRO;Tentaculo:5;;34
Lich Colossal;F;MONSTRO;Tentaculo:5;Grito Aterrador:8;88
Lich das Ruinas;F;MONSTRO;Tentaculo:5;Veneno Corrosivo:9;65
Lich do Norte;F;MONSTRO;Garra Afiada:7;Grito Aterrador:8;35
Lich Negro;F;MONSTRO;Garra Afiada:7;Veneno Corrosivo:9;78
Lich Sombrio;M;MONSTRO;Presa Venenosa:6;Veneno Corrosivo:9;80
Lich Voraz;M;MONSTRO;Tentaculo:5;;83
Liora Aurivento;F;GUERREIRO;Alabarda:8;;70
Liora Brumafria;F;MAGO;Bastao Etereo:5;Tempestade Eletrica:14;32
Liora Cinzarubra;F;LADINO;Arco Curto:6;;39
Liora Dentebravo;F;GUERREIRO;Machado de Guerra:8;;59
Liora Noitefria;F;CLERIGO;Maca Sagrada:6;Escudo da Fe:7;38
Liora Ostraval;F;MAGO;Cajado Arcano:4;Bola de Fogo:12;34
Liora Pelegris;F;GUERREIRO;Montante:10;;59
Liora Quebrantosso;F;GUERREIRO;Machado de Guerra:8;;45
Liora Solposto;F;CLERIGO;Martelo da Fe:7;Escudo da Fe:7;49
Liora Sombravale;F;LADINO;Arco Curto:6;;43
Liora Tremoco;F;CLERIGO;Martelo da Fe:7;Luz Curativa:9;42
Liora Vaupedra;F;LADINO;Besta de Mao:7;;51
Lobo Atroz das Ruinas;M;MONSTRO;Presa Venenosa:6;;70
Lobo Atroz do Norte;M;MONSTRO;Mandibula Brutal:9;Grito Aterrador:8;56
Lobo Atroz Errante;F;MONSTRO;Mandibula Brutal:9;Sopro Sombrio:10;66
Lobo Atroz Esquecido;M;MONSTRO;Tentaculo:5;;71
Lobo Atroz Petreo;M;MONSTRO;Mandibula Brutal:9;Sopro Sombrio:10;60
Lobo Atroz Venenoso;M;MONSTRO;Cauda Espinhosa:8;;35
Lobo Atroz Vermelho;F;MONSTRO;Cauda Espinhosa:8;Sopro Sombrio:10;28
Lobo Atroz Voraz;F;MONSTRO;Garra Afiada:7;;57
Lothar Dentebravo;M;CLERIGO;Martelo da Fe:7;Luz Curativa:9;41
Lothar Espinhal;M;MAGO;Cajado Arcano:4;Raio Congelante:10;29
Lothar Folhaverde;M;GUERREIRO;Martelo Pesado:9;;54
Lothar Montelongo;M;GUERREIRO;Martelo Pesado:9;;62
Lyra Brumafria;F;GUERREIRO;Alabarda:8;;56
Lyra Ferronegro;F;LADINO;Punhal Sombrio:5;;42
Lyra Gelocorvo;F;CLERIGO;Maca Sagrada:6;Punicao Divina:11;46
Lyra Pelegris;F;GUERREIRO;Montante:10;;68
Lyra Quebrantosso;F;LADINO;Arco Curto:6;;55
Magnus Montelongo;M;GUERREIRO;Montante:10;;63
Magnus Pedraforte;M;MAGO;Varinha Runica:3;Raio Congelante:10;40
Magnus Sombravale;M;CLERIGO;Martelo da Fe:7;Luz Curativa:9;53
Magnus Tremoco;M;MAGO;Adaga Ritual:3;Bola de Fogo:12;38
Marek Ferronegro;M;MAGO;Bastao Etereo:5;Raio Congelante:10;30
Marek Florsombria;M;GUERREIRO;Machado de Guerra:8;;51
Marek Folhaverde;M;GUERREIRO;Machado de Guerra:8;;64
Marek Luzprata;M;MAGO;Cajado Arcano:4;Seta Arcana:8;28
Marek Ostraval;M;MAGO;Adaga Ritual:3;Tempestade Eletrica:14;36
Marek Pelegris;M;GUERREIRO;Machado de Guerra:8;;68
Marek Solposto;M;GUERREIRO;Martelo Pesado:9;;63
Marek Sombravale;M;GUERREIRO;Martelo Pesado:9;;47
Mimico Colossal;M;MONSTRO;Mandibula Brutal:9;;81
Mimico da Cripta;M;MONSTRO;Garra Afiada:7;Sopro Sombrio:10;36
Mimico da Floresta;F;MONSTRO;Presa Venenosa:6;Sopro Sombrio:10;48
Mimico das Cavernas;M;MONSTRO;Tentaculo:5;;88
Mimico Faminto;M;MONSTRO;Cauda Espinhosa:8;;29
Mimico Negro;M;MONSTRO;Cauda Espinhosa:8;Veneno Corrosivo:9;39
Mimico Petreo;F;MONSTRO;Garra Afiada:7;Grito Aterrador:8;37
Mimico Selvagem;M;MONSTRO;Tentaculo:5;;68
Mimico Venenoso;F;MONSTRO;Garra Afiada:7;;84
Mimico Vermelho;F;MONSTRO;Garra Afiada:7;Sopro Sombrio:10;33
Minotauro Anciao;F;MONSTRO;Cauda Espinhosa:8;Sopro Sombrio:10;53
Minotauro das Cavernas;F;MONSTRO;Presa Venenosa:6;Grito Aterrador:8;28
Minotauro Maldito;M;MONSTRO;Mandibula Brutal:9;Sopro Sombrio:10;49
Minotauro Negro;M;MONSTRO;Tentaculo:5;;27
Minotauro Petreo;F;MONSTRO;Garra Afiada:7;Grito Aterrador:8;90
Minotauro Venenoso;M;MONSTRO;Mandibula Brutal:9;Grito Aterrador:8;35
Morgana Aurivento;F;CLERIGO;Cetro Bento:5;Luz Curativa:9;47
Morgana Espinhal;F;LADINO;Punhal Sombrio:5;;38
Morgana Pedraforte;F;LADINO;Punhal Sombrio:5;;47
Morgana Quebrantosso;F;CLERIGO;Martelo da Fe:7;Escudo da Fe:7;35
Morgana Riachoclaro;F;MAGO;Bastao Etereo:5;Seta Arcana:8;34
Naga Colossal;F;MONSTRO;Mandibula Brutal:9;Veneno Corrosivo:9;37
Naga da Cripta;M;MONSTRO;Presa Venenosa:6;;65
Naga do Norte;M;MONSTRO;Cauda Espinhosa:8;Grito Aterrador:8;87
Naga do Pantano;F;MONSTRO;Presa Venenosa:6;Veneno Corrosivo:9;37
Naga Esquecido;F;MONSTRO;Cauda Espinhosa:8;Grito Aterrador:8;77
Naga Vermelho;F;MONSTRO;Mandibula Brutal:9;Veneno Corrosivo:9;88
Naga Voraz;M;MONSTRO;Presa Venenosa:6;Sopro Sombrio:10;59
Nimue Espinhal;F;MAGO;Adaga Ritual:3;Bola de Fogo:12;36
Nimue Ferronegro;F;GUERREIRO;Alabarda:8;;59
Nimue Luzprata;F;MAGO;Cajado Arcano:4;Bola de Fogo:12;34
Nimue Montelongo;F;CLERIGO;Maca Sagrada:6;Escudo da Fe:7;50
Nimue Noitefria;F;LADINO;Arco Curto:6;;43
Nimue Ostraval;F;GUERREIRO;Martelo Pesado:9;;52
Nimue Pelegris;F;GUERREIRO;Alabarda:8;;61
Nimue Quebrantosso;F;CLERIGO;Maca Sagrada:6;Escudo da Fe:7;59
Nolan Cinzarubra;M;MAGO;Adaga Ritual:3;Bola de Fogo:12;30
Nolan Riachoclaro;M;LADINO;Punhal Sombrio:5;;38
Nolan Sombravale;M;MAGO;Varinha Runica:3;Tempestade Eletrica:14;31
Ogro Colossal;M;MONSTRO;Presa Venenosa:6;;75
Ogro da Cripta;M;MONSTRO;Cauda Espinhosa:8;Veneno Corrosivo:9;39
Ogro do Pantano;F;MONSTRO;Cauda Espinhosa:8;Sopro Sombrio:10;42
Ogro Petreo;F;MONSTRO;Garra Afiada:7;;58
Ogro Sombrio;F;MONSTRO;Garra Afiada:7;;37
Ogro Uivante;M;MONSTRO;Garra Afiada:7;;21
Ophelia Dentebravo;F;MAGO;Adaga Ritual:3;Tempestade Eletrica:14;30
Ophelia Ferronegro;F;GUERREIRO;Martelo Pesado:9;;47
Ophelia Florsombria;F;MAGO;Varinha Runica:3;Tempestade Eletrica:14;36
Ophelia Pedraforte;F;GUERREIRO;Machado de Guerra:8;;67
Ophelia Urzevelha;F;MAGO;Adaga Ritual:3;Raio Congelante:10;33
Orc das Cavernas;M;MONSTRO;Tentaculo:5;;38
Orc do Norte;F;MONSTRO;Cauda Espinhosa:8;;42
Orc Petreo;F;MONSTRO;Presa Venenosa:6;Grito Aterrador:8;60
Orc Sombrio;F;MONSTRO;Presa Venenosa:6;;63
Osric Aurivento;M;LADINO;Punhal Sombrio:5;;40
